date,求和项:low,求和项:volume
2004/9/10,7.551,2206.35
2004/9/13,7.473,3242.88
2004/9/14,7.473,6125.94
2004/9/15,7.633,11409.58
2004/9/16,7.989,11471.61
2004/9/17,8.017,13196.89
2004/9/20,8.301,12021.66
2004/9/21,8.27,8374.13
2004/9/22,8.254,4348.12
2004/9/23,8.275,17667.48
2004/9/24,8.659,30981.37
2004/9/27,8.891,6066.63
2004/9/28,8.968,6740.55
2004/9/29,9.123,13628.42
2004/9/30,8.904,7366.47
2004/10/8,9.022,9667.84
2004/10/11,9.419,10197.76
2004/10/12,9.174,7452.22
2004/10/13,9.048,6645.17
2004/10/14,9.066,6479.14
2004/10/15,8.932,5121.54
2004/10/18,8.929,2336.87
2004/10/19,8.942,10583.64
2004/10/20,9.228,15933.84
2004/10/21,9.226,5996.03
2004/10/22,9.535,18161.45
2004/10/25,10.081,15601.78
2004/10/26,9.973,4973.47
2004/10/27,10.133,11878.04
2004/10/28,9.952,9338.2
2004/10/29,9.795,14363.14
2004/11/1,9.927,3673.18
2004/11/2,9.818,3356.02
2004/11/3,9.896,7615.86
2004/11/4,9.834,6785.67
2004/11/5,9.275,25994.09
2004/11/8,9.282,3585.53
2004/11/9,9.522,7314.79
2004/11/10,9.793,11288.62
2004/11/11,9.999,8330.13
2004/11/12,9.862,5667.94
2004/11/15,9.69,8947.76
2004/11/16,9.793,3298.47
2004/11/17,9.715,8032.72
2004/11/18,9.677,2624.16
2004/11/19,9.715,3196.34
2004/11/22,9.561,6429.08
2004/11/23,9.483,6155.9
2004/11/24,9.406,4292.06
2004/11/25,9.383,5924.14
2004/11/26,9.612,1974.01
2004/11/29,9.69,5442.53
2004/11/30,9.535,1618.3
2004/12/1,9.483,784.9
2004/12/2,9.406,3985.28
2004/12/3,9.432,626.24
2004/12/6,9.409,1111.17
2004/12/7,9.409,1899.08
2004/12/8,9.406,10290.83
2004/12/9,9.427,11349.04
2004/12/10,9.44,897.03
2004/12/13,9.432,2208.32
2004/12/14,9.478,1245.44
2004/12/15,9.406,10969.73
2004/12/16,9.354,11500.03
2004/12/17,9.295,1049.03
2004/12/20,8.973,2459.3
2004/12/21,8.932,2198.68
2004/12/22,8.808,3168.54
2004/12/23,9.071,6883.48
2004/12/24,9.019,4469.59
2004/12/27,9.148,1570.84
2004/12/28,9.148,2924.12
2004/12/29,9.45,5654.78
2004/12/30,9.362,3345
2004/12/31,9.298,5869.9
2005/1/4,9.277,2348.81
2005/1/5,9.336,6139.33
2005/1/6,9.406,5523.72
2005/1/7,9.406,3002.74
2005/1/10,9.509,10718.11
2005/1/11,9.844,5003.56
2005/1/12,9.762,3389.03
2005/1/13,9.818,2883.83
2005/1/14,9.715,3338.47
2005/1/17,9.563,1812.39
2005/1/18,9.715,2638.2
2005/1/19,9.767,2652
2005/1/20,9.664,974.05
2005/1/21,9.406,3177.36
2005/1/24,9.71,4173.4
2005/1/25,9.831,5816.65
2005/1/26,10.045,3734.98
2005/1/27,10.073,1021.62
2005/1/28,9.95,1341.23
2005/1/31,9.947,1165.07
2005/2/1,9.965,4002.6
2005/2/2,10.027,5378.17
2005/2/3,10.05,4442.64
2005/2/4,10.05,4008.38
2005/2/16,10.205,4440.63
2005/2/17,9.999,11591.68
2005/2/18,10.014,9595.49
2005/2/21,10.12,10629.98
2005/2/22,10.308,5629.02
2005/2/23,10.349,5647.06
2005/2/24,10.568,9447.26
2005/2/25,10.96,5990.53
2005/2/28,10.999,4483.44
2005/3/1,11.03,5506.09
2005/3/2,10.952,11396.74
2005/3/3,10.875,3429.85
2005/3/4,10.934,4364.96
2005/3/7,11.145,10222.84
2005/3/8,11.419,6585.54
2005/3/9,11.674,4713.03
2005/3/10,11.416,4726.21
2005/3/11,11.519,9362.31
2005/3/14,11.751,10378.97
2005/3/15,12.009,5783.03
2005/3/16,11.841,6829.64
2005/3/17,11.906,5015.69
2005/3/18,11.983,2405.49
2005/3/21,11.854,2701.26
2005/3/22,12.06,12259.2
2005/3/23,12.56,12551.23
2005/3/24,11.983,9162.67
2005/3/25,11.911,2329.46
2005/3/28,12.112,2428.51
2005/3/29,12.37,2448.56
2005/3/30,12.138,2480.4
2005/3/31,12.06,1507.18
2005/4/1,12.37,3410.85
2005/4/4,12.486,5427.51
2005/4/5,12.808,4902.33
2005/4/6,12.779,5674.88
2005/4/7,12.885,12437.52
2005/4/8,12.449,4505.13
2005/4/11,12.292,9126.19
2005/4/12,12.202,1994.91
2005/4/13,12.37,8689.12
2005/4/14,12.395,1914.6
2005/4/15,12.498,1635.59
2005/4/18,12.246,2957.45
2005/4/19,11.957,7807.95
2005/4/20,11.937,5357.62
2005/4/21,11.983,2808.96
2005/4/22,12.344,3520.43
2005/4/25,12.527,12704.37
2005/4/26,13.349,13609.23
